First Come First Serve Scheduler Simulation # 1  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
22 1111 RUNNING SUSPENDED
22 2222 READY RUNNING
33 2222 RUNNING SUSPENDED
33 3333 READY RUNNING
45 3333 RUNNING SUSPENDED
45 4444 READY RUNNING
56 4444 RUNNING SUSPENDED
56 5555 READY RUNNING
70 5555 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 2  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
210 1111 RUNNING SUSPENDED
210 2222 READY RUNNING
493 2222 RUNNING SUSPENDED
493 3333 READY RUNNING
613 3333 RUNNING SUSPENDED
613 4444 READY RUNNING
955 4444 RUNNING SUSPENDED
955 5555 READY RUNNING
1460 5555 RUNNING SUSPENDED
1460 6666 READY RUNNING
1480 6666 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 3  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
1 5555 READY RUNNING
69 5555 RUNNING SUSPENDED
69 7070 READY RUNNING
148 7070 RUNNING SUSPENDED
148 5423 READY RUNNING
368 5423 RUNNING SUSPENDED
368 4234 READY RUNNING
380 4234 RUNNING SUSPENDED
380 2000 READY RUNNING
619 2000 RUNNING SUSPENDED
619 8080 READY RUNNING
727 8080 RUNNING SUSPENDED
727 5434 READY RUNNING
877 5434 RUNNING SUSPENDED
877 7863 READY RUNNING
1030 7863 RUNNING SUSPENDED
1030 2487 READY RUNNING
1074 2487 RUNNING SUSPENDED
1074 1002 READY RUNNING
1327 1002 RUNNING SUSPENDED
1327 1234 READY RUNNING
1535 1234 RUNNING SUSPENDED
1535 8888 READY RUNNING
2035 8888 RUNNING SUSPENDED
2035 0 READY RUNNING
2415 0 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 4  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
4 1111 READY RUNNING
15 1111 RUNNING SUSPENDED
15 2222 READY RUNNING
26 2222 RUNNING SUSPENDED
26 3333 READY RUNNING
37 3333 RUNNING SUSPENDED
37 4444 READY RUNNING
48 4444 RUNNING SUSPENDED
48 5555 READY RUNNING
59 5555 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 5  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
160 1111 RUNNING SUSPENDED
160 4444 READY RUNNING
510 4444 RUNNING SUSPENDED
510 2222 READY RUNNING
660 2222 RUNNING SUSPENDED
660 5555 READY RUNNING
890 5555 RUNNING SUSPENDED
890 3333 READY RUNNING
1030 3333 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 6  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
29 2222 RUNNING WAITING
29 5555 READY RUNNING
30 2222 WAITING READY
33 5555 RUNNING WAITING
33 1111 READY RUNNING
34 5555 WAITING READY
37 1111 RUNNING WAITING
37 3333 READY RUNNING
38 1111 WAITING READY
41 3333 RUNNING WAITING
41 4444 READY RUNNING
42 3333 WAITING READY
45 4444 RUNNING WAITING
45 2222 READY RUNNING
46 4444 WAITING READY
48 2222 RUNNING SUSPENDED
48 5555 READY RUNNING
52 5555 RUNNING WAITING
52 1111 READY RUNNING
53 5555 WAITING READY
56 1111 RUNNING WAITING
56 3333 READY RUNNING
57 1111 WAITING READY
60 3333 RUNNING SUSPENDED
60 4444 READY RUNNING
63 4444 RUNNING SUSPENDED
63 5555 READY RUNNING
67 5555 RUNNING WAITING
67 1111 READY RUNNING
68 5555 WAITING READY
69 1111 RUNNING SUSPENDED
69 5555 READY RUNNING
71 5555 RUNNING SUSPENDED
First Come First Serve Scheduler Simulation # 7  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
