
Priority Scheduler Simulation # 1  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 1111 READY RUNNING
2 4444 READY RUNNING
3 4444 READY RUNNING
5 2222 READY RUNNING
6 2222 READY RUNNING
8 1111 READY RUNNING
12 4444 READY RUNNING
16 2222 READY RUNNING
20 5555 READY RUNNING
24 3333 READY RUNNING
26 3333 RUNNING SUSPENDED
26 1111 READY RUNNING
30 4444 READY RUNNING
33 4444 RUNNING SUSPENDED
33 2222 READY RUNNING
37 5555 READY RUNNING
41 1111 READY RUNNING
42 1111 RUNNING SUSPENDED
42 2222 READY RUNNING
46 5555 READY RUNNING
50 2222 READY RUNNING
54 5555 READY RUNNING
58 5555 RUNNING SUSPENDED
58 2222 READY RUNNING
62 2222 READY RUNNING
66 2222 READY RUNNING
67 2222 RUNNING SUSPENDED

Priority Scheduler Simulation # 2  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 1111 READY RUNNING
2 4444 READY RUNNING
3 4444 READY RUNNING
5 2222 READY RUNNING
6 2222 READY RUNNING
8 1111 READY RUNNING
12 4444 READY RUNNING
16 2222 READY RUNNING
20 5555 READY RUNNING
24 3333 READY RUNNING
26 3333 RUNNING SUSPENDED
26 1111 READY RUNNING
30 4444 READY RUNNING
33 4444 RUNNING SUSPENDED
33 2222 READY RUNNING
37 5555 READY RUNNING
41 1111 READY RUNNING
42 1111 RUNNING SUSPENDED
42 2222 READY RUNNING
46 5555 READY RUNNING
50 2222 READY RUNNING
54 5555 READY RUNNING
58 5555 RUNNING SUSPENDED
58 2222 READY RUNNING
62 2222 READY RUNNING
66 2222 READY RUNNING
67 2222 RUNNING SUSPENDED

Priority Scheduler Simulation # 3  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 2020 READY RUNNING
1 2020 RUNNING READY
1 3030 READY RUNNING
2 3030 RUNNING READY
2 7070 READY RUNNING
3 7070 RUNNING READY
3 8080 READY RUNNING
4 8080 RUNNING READY
4 2020 READY RUNNING
5 2020 RUNNING WAITING
5 3030 READY RUNNING
6 2020 WAITING READY
7 3030 RUNNING WAITING
7 7070 READY RUNNING
9 3030 WAITING READY
9 7070 RUNNING READY
9 1002 READY RUNNING
10 1002 RUNNING READY
10 8080 READY RUNNING
12 8080 RUNNING READY
12 2020 READY RUNNING
14 2020 RUNNING WAITING
14 3030 READY RUNNING
15 2020 WAITING READY
16 3030 RUNNING READY
16 1234 READY RUNNING
17 1234 RUNNING READY
17 1002 READY RUNNING
19 1002 RUNNING READY
19 2020 READY RUNNING
20 2020 RUNNING SUSPENDED
20 1080 READY RUNNING
21 1080 RUNNING READY
21 1234 READY RUNNING
23 1234 RUNNING READY
23 1080 READY RUNNING
25 1080 RUNNING READY
25 7070 READY RUNNING
26 7070 RUNNING WAITING
26 8080 READY RUNNING
28 8080 RUNNING WAITING
28 3030 READY RUNNING
29 7070 WAITING READY
29 3030 RUNNING SUSPENDED
29 1002 READY RUNNING
31 1002 RUNNING WAITING
31 1234 READY RUNNING
32 8080 WAITING READY
33 1234 RUNNING WAITING
33 1080 READY RUNNING
35 1002 WAITING READY
35 1080 RUNNING WAITING
35 7070 READY RUNNING
37 1234 WAITING READY
38 7070 RUNNING SUSPENDED
38 8080 READY RUNNING
39 1080 WAITING READY
41 8080 RUNNING SUSPENDED
41 1002 READY RUNNING
44 1002 RUNNING SUSPENDED
44 1234 READY RUNNING
47 1234 RUNNING SUSPENDED
47 1080 READY RUNNING
50 1080 RUNNING SUSPENDED

Priority Scheduler Simulation # 4  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 1111 READY RUNNING
2 4444 READY RUNNING
3 4444 READY RUNNING
5 2222 READY RUNNING
6 2222 READY RUNNING
8 1111 READY RUNNING
12 4444 READY RUNNING
16 2222 READY RUNNING
20 5555 READY RUNNING
24 3333 READY RUNNING
26 3333 RUNNING SUSPENDED
26 1111 READY RUNNING
30 4444 READY RUNNING
33 4444 RUNNING SUSPENDED
33 2222 READY RUNNING
37 5555 READY RUNNING
41 1111 READY RUNNING
42 1111 RUNNING SUSPENDED
42 2222 READY RUNNING
46 5555 READY RUNNING
50 2222 READY RUNNING
54 5555 READY RUNNING
58 5555 RUNNING SUSPENDED
58 2222 READY RUNNING
62 2222 READY RUNNING
66 2222 READY RUNNING
67 2222 RUNNING SUSPENDED

Priority Scheduler Simulation # 5  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 1111 READY RUNNING
2 4444 READY RUNNING
3 4444 READY RUNNING
5 2222 READY RUNNING
6 2222 READY RUNNING
8 1111 READY RUNNING
12 4444 READY RUNNING
16 2222 READY RUNNING
20 5555 READY RUNNING
24 3333 READY RUNNING
26 3333 RUNNING SUSPENDED
26 1111 READY RUNNING
30 4444 READY RUNNING
33 4444 RUNNING SUSPENDED
33 2222 READY RUNNING
37 5555 READY RUNNING
41 1111 READY RUNNING
42 1111 RUNNING SUSPENDED
42 2222 READY RUNNING
46 5555 READY RUNNING
50 2222 READY RUNNING
54 5555 READY RUNNING
58 5555 RUNNING SUSPENDED
58 2222 READY RUNNING
62 2222 READY RUNNING
66 2222 READY RUNNING
67 2222 RUNNING SUSPENDED

Priority Scheduler Simulation # 6  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 1111 READY RUNNING
2 4444 READY RUNNING
3 4444 READY RUNNING
5 2222 READY RUNNING
6 2222 READY RUNNING
8 1111 READY RUNNING
12 4444 READY RUNNING
16 2222 READY RUNNING
20 5555 READY RUNNING
24 3333 READY RUNNING
26 3333 RUNNING SUSPENDED
26 1111 READY RUNNING
30 4444 READY RUNNING
33 4444 RUNNING SUSPENDED
33 2222 READY RUNNING
37 5555 READY RUNNING
41 1111 READY RUNNING
42 1111 RUNNING SUSPENDED
42 2222 READY RUNNING
46 5555 READY RUNNING
50 2222 READY RUNNING
54 5555 READY RUNNING
58 5555 RUNNING SUSPENDED
58 2222 READY RUNNING
62 2222 READY RUNNING
66 2222 READY RUNNING
67 2222 RUNNING SUSPENDED

Priority Scheduler Simulation # 7  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 1111 READY RUNNING
2 4444 READY RUNNING
3 4444 READY RUNNING
5 2222 READY RUNNING
6 2222 READY RUNNING
8 1111 READY RUNNING
12 4444 READY RUNNING
16 2222 READY RUNNING
20 5555 READY RUNNING
24 3333 READY RUNNING
26 3333 RUNNING SUSPENDED
26 1111 READY RUNNING
30 4444 READY RUNNING
33 4444 RUNNING SUSPENDED
33 2222 READY RUNNING
37 5555 READY RUNNING
41 1111 READY RUNNING
42 1111 RUNNING SUSPENDED
42 2222 READY RUNNING
46 5555 READY RUNNING
50 2222 READY RUNNING
54 5555 READY RUNNING
58 5555 RUNNING SUSPENDED
58 2222 READY RUNNING
62 2222 READY RUNNING
66 2222 READY RUNNING
67 2222 RUNNING SUSPENDED

Priority Scheduler Simulation # 8  
State Sequence: 
TIME PID OLDSTATE NEWSTATE PRIORITY
0 1111 READY RUNNING
2 4444 READY RUNNING
3 4444 READY RUNNING
5 2222 READY RUNNING
6 2222 READY RUNNING
8 1111 READY RUNNING
12 4444 READY RUNNING
16 2222 READY RUNNING
20 5555 READY RUNNING
24 3333 READY RUNNING
26 3333 RUNNING SUSPENDED
26 1111 READY RUNNING
