Round Robin Scheduler Simulation # 1  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
22 1111 RUNNING SUSPENDED
22 2222 READY RUNNING
33 2222 RUNNING SUSPENDED
33 3333 READY RUNNING
45 3333 RUNNING SUSPENDED
45 4444 READY RUNNING
56 4444 RUNNING SUSPENDED
56 5555 READY RUNNING
70 5555 RUNNING SUSPENDED
Round Robin Scheduler Simulation # 2  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
100 2222 READY RUNNING
200 3333 READY RUNNING
300 4444 READY RUNNING
400 5555 READY RUNNING
500 6666 READY RUNNING
520 6666 RUNNING SUSPENDED
520 1111 READY RUNNING
620 2222 READY RUNNING
720 3333 READY RUNNING
740 3333 RUNNING SUSPENDED
740 4444 READY RUNNING
840 5555 READY RUNNING
940 1111 READY RUNNING
950 1111 RUNNING SUSPENDED
950 2222 READY RUNNING
1033 2222 RUNNING SUSPENDED
1033 4444 READY RUNNING
1133 5555 READY RUNNING
1233 4444 READY RUNNING
1275 4444 RUNNING SUSPENDED
1275 5555 READY RUNNING
1375 5555 READY RUNNING
1475 5555 READY RUNNING
1480 5555 RUNNING SUSPENDED
Round Robin Scheduler Simulation # 3  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
1 5555 READY RUNNING
69 5555 RUNNING SUSPENDED
69 7070 READY RUNNING
148 7070 RUNNING SUSPENDED
148 5423 READY RUNNING
248 4234 READY RUNNING
260 4234 RUNNING SUSPENDED
260 2000 READY RUNNING
360 8080 READY RUNNING
460 5434 READY RUNNING
560 7863 READY RUNNING
660 2487 READY RUNNING
704 2487 RUNNING SUSPENDED
704 1002 READY RUNNING
804 1234 READY RUNNING
904 8888 READY RUNNING
1004 0 READY RUNNING
1104 5423 READY RUNNING
1204 2000 READY RUNNING
1304 8080 READY RUNNING
1312 8080 RUNNING SUSPENDED
1312 5434 READY RUNNING
1362 5434 RUNNING SUSPENDED
1362 7863 READY RUNNING
1415 7863 RUNNING SUSPENDED
1415 1002 READY RUNNING
1515 1234 READY RUNNING
1615 8888 READY RUNNING
1715 0 READY RUNNING
1815 5423 READY RUNNING
1835 5423 RUNNING SUSPENDED
1835 2000 READY RUNNING
1874 2000 RUNNING SUSPENDED
1874 1002 READY RUNNING
1927 1002 RUNNING SUSPENDED
1927 1234 READY RUNNING
1935 1234 RUNNING SUSPENDED
1935 8888 READY RUNNING
2035 0 READY RUNNING
2135 8888 READY RUNNING
2235 0 READY RUNNING
2315 0 RUNNING SUSPENDED
2315 8888 READY RUNNING
2415 8888 RUNNING SUSPENDED
Round Robin Scheduler Simulation # 4  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
4 1111 READY RUNNING
15 1111 RUNNING SUSPENDED
15 2222 READY RUNNING
26 2222 RUNNING SUSPENDED
26 3333 READY RUNNING
37 3333 RUNNING SUSPENDED
37 4444 READY RUNNING
48 4444 RUNNING SUSPENDED
48 5555 READY RUNNING
59 5555 RUNNING SUSPENDED
Round Robin Scheduler Simulation # 5  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
100 4444 READY RUNNING
200 2222 READY RUNNING
300 5555 READY RUNNING
400 3333 READY RUNNING
500 1111 READY RUNNING
560 1111 RUNNING SUSPENDED
560 4444 READY RUNNING
660 2222 READY RUNNING
710 2222 RUNNING SUSPENDED
710 5555 READY RUNNING
810 3333 READY RUNNING
850 3333 RUNNING SUSPENDED
850 4444 READY RUNNING
950 5555 READY RUNNING
980 5555 RUNNING SUSPENDED
980 4444 READY RUNNING
1030 4444 RUNNING SUSPENDED
Round Robin Scheduler Simulation # 6  
State Sequence: 
TIME PID OLDSTATE NEWSTATE
0 1111 READY RUNNING
4 1111 RUNNING WAITING
5 1111 WAITING READY
5 1111 READY RUNNING
9 1111 RUNNING WAITING
9 2222 READY RUNNING
10 1111 WAITING READY
13 2222 RUNNING WAITING
13 1111 READY RUNNING
14 2222 WAITING READY
17 1111 RUNNING WAITING
17 3333 READY RUNNING
18 1111 WAITING READY
21 3333 RUNNING WAITING
21 4444 READY RUNNING
22 3333 WAITING READY
25 4444 RUNNING WAITING
25 2222 READY RUNNING
26 4444 WAITING READY
